103/6848, 534.58, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9999134540557861)]
104/6848, 538.75, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9999362230300903)]
105/6848, 551.25, 195, [([[25, 31], [69, 31], [69, 51], [25, 51]], '6.93', 0.8240434373950019)]
106/6848, 555.42, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9998899698257446)]
107/6848, 559.58, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9998117685317993)]
108/6848, 563.75, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9998692870140076)]
109/6848, 567.92, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9998944997787476)]
110/6848, 572.08, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9870319653686837)]
111/6848, 576.25, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9995458227687687)]
112/6848, 580.42, 195, [([[26, 28], [70, 28], [70, 52], [26, 52]], '6.93', 0.9996892809867859)]
113/6848, 584.58, 195, [([[26, 28], [70, 28], [70, 52], [26, 52]], '6.93', 0.9995906949043274)]
114/6848, 592.92, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.8507814634520424)]
115/6848, 597.08, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9465875419900486)]
116/6848, 601.25, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9248786591815565)]
117/6848, 613.75, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9009871779925472)]
118/6848, 617.92, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9973473116414663)]
119/6848, 622.08, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.6755041292986229)]
120/6848, 626.25, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.7040284270981378)]
121/6848, 630.42, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9967663817883841)]
122/6848, 634.58, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9157490743165899)]
123/6848, 638.75, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '6.93', 0.9994806051254272)]
124/6848, 642.92, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '7.46', 0.7703513503074646)]
125/6848, 647.08, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '7.46', 0.8353736434227181)]
126/6848, 655.42, 195, [([[27, 31], [69, 31], [69, 51], [27, 51]], '7.46', 0.6580367198372475)]
